Date,Open,High,Low,Close,Volume,Market Cap
04-08-2015,0.12887300550937653,0.13593199849128723,0.11932999640703201,0.13236799836158752,2367.389892578125,2868626.34801
03-08-2015,0.1309109926223755,0.13669300079345703,0.12621499598026276,0.12904800474643707,3565.0400390625,2794450.55803
02-08-2015,0.11101700365543365,0.132751002907753,0.10364899784326553,0.1309179961681366,6131.93994140625,2833091.70281
01-08-2015,0.12421300262212753,0.12694600224494934,0.1110130026936531,0.11107400059700012,2637.52001953125,2401031.12033
31-07-2015,0.13311100006103516,0.13599899411201477,0.1233920007944107,0.12376199662685394,3967.550048828125,2672955.98236
30-07-2015,0.14150699973106384,0.14150699973106384,0.1329910010099411,0.13318400084972382,3249.31005859375,2873558.0056
29-07-2015,0.1417669951915741,0.14363600313663483,0.140066996216774,0.14150699973106384,4650.97998046875,3050360.2679
28-07-2015,0.139165997505188,0.14302699267864227,0.13895100355148315,0.14176000654697418,3236.10009765625,3052475.55115
27-07-2015,0.1446550041437149,0.1456349939107895,0.1336359977722168,0.14008300006389618,4187.259765625,3012996.21711
26-07-2015,0.1458670049905777,0.15041300654411316,0.1430629938840866,0.14473900198936462,3003.06005859375,3110144.39418
25-07-2015,0.14916500449180603,0.14997799694538116,0.1446159929037094,0.14581599831581116,3378.919921875,3129918.56673
24-07-2015,0.14592699706554413,0.15205800533294678,0.14528800547122955,0.1492300033569336,3345.179931640625,3199797.1206
23-07-2015,0.1486479938030243,0.1497659981250763,0.1450989991426468,0.14593100547790527,3207.570068359375,3126053.61907
22-07-2015,0.1450359970331192,0.15069499611854553,0.1399330049753189,0.14866699278354645,3205.43994140625,3181607.59941
21-07-2015,0.15652500092983246,0.1571750044822693,0.14229600131511688,0.1452450007200241,3640.10009765625,3105417.98388
20-07-2015,0.1533990055322647,0.15854699909687042,0.15059800446033478,0.15623000264167786,3922.35009765625,3336525.99406
19-07-2015,0.1448500007390976,0.15255700051784515,0.14426299929618835,0.15169499814510345,3167.550048828125,3235942.56959
18-07-2015,0.1469220072031021,0.15116100013256073,0.1424580067396164,0.1447480022907257,3840.6201171875,3084768.05153
17-07-2015,0.15177099406719208,0.15267199277877808,0.1406240016222,0.14696000516414642,2390.56005859375,3128241.99512
16-07-2015,0.1596119999885559,0.1633629947900772,0.1507740020751953,0.15284299850463867,4348.60986328125,3250840.69253
15-07-2015,0.1595029979944229,0.16248199343681335,0.157151997089386,0.159743994474411,2111.669921875,3394312.39584
14-07-2015,0.1597599983215332,0.16920800507068634,0.1560630053281784,0.1596660017967224,4203.83984375,3389182.28124
13-07-2015,0.157150000333786,0.16419099271297455,0.14894099533557892,0.15988600254058838,3354.340087890625,3391349.93934
12-07-2015,0.15663200616836548,0.1639149934053421,0.15262499451637268,0.15722699463367462,2873.8701171875,3332151.11681
11-07-2015,0.1576250046491623,0.16625000536441803,0.15310700237751007,0.1566070020198822,6111.56982421875,3315847.84041
10-07-2015,0.15189999341964722,0.16664500534534454,0.15189999341964722,0.15769599378108978,4579.5498046875,3335018.08545
09-07-2015,0.16339699923992157,0.16342699527740479,0.15092700719833374,0.15199999511241913,4171.22998046875,3210885.99909
08-07-2015,0.16857600212097168,0.17109300196170807,0.15919199585914612,0.16328300535678864,4147.580078125,3445703.99897
07-07-2015,0.17294199764728546,0.17394299805164337,0.16229799389839172,0.1688780039548874,3461.989990234375,3560277.55109
06-07-2015,0.18829099833965302,0.18830999732017517,0.16763100028038025,0.1729319989681244,6100.22021484375,3642155.43736
05-07-2015,0.16913799941539764,0.1864980012178421,0.1655610054731369,0.1864980012178421,5780.85986328125,3923088.00278
04-07-2015,0.1640940010547638,0.17005500197410583,0.1592160016298294,0.1691959947347641,4090.510009765625,3554308.83078
03-07-2015,0.1663450002670288,0.16936899721622467,0.16263799369335175,0.164014995098114,4173.22021484375,3441362.72902
02-07-2015,0.16610300540924072,0.17410700023174286,0.16266199946403503,0.1662130057811737,4534.830078125,3483109.7631
01-07-2015,0.16221299767494202,0.1681859940290451,0.16141800582408905,0.16580000519752502,4740.6298828125,3470989.83901
30-06-2015,0.15592099726200104,0.16219599545001984,0.15508699417114258,0.1612119972705841,6571.169921875,3370435.10123
29-06-2015,0.15595799684524536,0.15946300327777863,0.15240000188350677,0.1558919996023178,6011.77978515625,3255157.46726
28-06-2015,0.15522100031375885,0.15854600071907043,0.15054099261760712,0.1576090008020401,4491.2099609375,3286494.38885
27-06-2015,0.15752199292182922,0.16614100337028503,0.14962400496006012,0.15527699887752533,5245.02001953125,3233076.76302
26-06-2015,0.167043998837471,0.17015300691127777,0.1503390073776245,0.15752899646759033,5419.81005859375,3274232.3876
25-06-2015,0.16030800342559814,0.1723729968070984,0.15713100135326385,0.16697199642658234,7574.77978515625,3465053.0346
24-06-2015,0.14843100309371948,0.1683640033006668,0.14480000734329224,0.16031399369239807,5828.39013671875,3321682.03194
23-06-2015,0.14557500183582306,0.15337899327278137,0.14326800405979156,0.14845000207424164,6255.97998046875,3071089.06411
22-06-2015,0.1453540027141571,0.15070199966430664,0.1425189971923828,0.15070199966430664,6731.7001953125,3112501.1508
21-06-2015,0.1398179978132248,0.1484609991312027,0.13553200662136078,0.1451839953660965,8199.2197265625,2993606.96873
20-06-2015,0.15760700404644012,0.15760700404644012,0.13831999897956848,0.13982899487018585,7615.509765625,2877478.06711
19-06-2015,0.14838899672031403,0.16360099613666534,0.1344289928674698,0.15755100548267365,9142.9296875,3236656.8451
18-06-2015,0.14758899807929993,0.1559869945049286,0.14573900401592255,0.14830900728702545,6820.43017578125,3041172.44496
17-06-2015,0.15300199389457703,0.17382800579071045,0.14291399717330933,0.1494559943675995,8557.830078125,3059543.6663
16-06-2015,0.17618900537490845,0.20454800128936768,0.15272900462150574,0.15272900462150574,11900.5,3121223.29823
15-06-2015,0.15868599712848663,0.18069100379943848,0.15824399888515472,0.17621900141239166,9022.0302734375,3595281.71359
14-06-2015,0.15055599808692932,0.16832000017166138,0.1378909945487976,0.15873199701309204,8084.7998046875,3233315.28285
13-06-2015,0.14352799952030182,0.1565600037574768,0.14217400550842285,0.1494400054216385,7349.10986328125,3039945.8391
12-06-2015,0.13340899348258972,0.15534499287605286,0.13311900198459625,0.14357499778270721,6684.7998046875,2917106.59789
11-06-2015,0.1332949995994568,0.14711900055408478,0.12981100380420685,0.13339899480342865,5992.33984375,2707205.97515
10-06-2015,0.1304509937763214,0.1364780068397522,0.12479600310325623,0.13331200182437897,5399.91015625,2701960.9496
09-06-2015,0.1261419951915741,0.1304820030927658,0.12497200071811676,0.1304820030927658,5615.68017578125,2641451.51082
08-06-2015,0.12290699779987335,0.12893100082874298,0.1209380030632019,0.12615099549293518,5498.06005859375,2550110.92649
07-06-2015,0.12396799772977829,0.1259080022573471,0.11862000077962875,0.12318900227546692,3665.72998046875,2487561.63571
06-06-2015,0.11884800344705582,0.12432099878787994,0.11470100283622742,0.1239669993519783,3392.02001953125,2500668.52161
05-06-2015,0.12618699669837952,0.12756100296974182,0.11875300109386444,0.11888200044631958,3044.989990234375,2395395.02599
04-06-2015,0.12428099662065506,0.13348400592803955,0.12420299649238586,0.1261579990386963,5901.68994140625,2539970.55274
03-06-2015,0.11131399869918823,0.12694500386714935,0.11127699911594391,0.12424399703741074,4803.10986328125,2498751.84185
02-06-2015,0.11493600159883499,0.11948499828577042,0.1086290031671524,0.11322999745607376,4098.0400390625,2274796.36082
01-06-2015,0.11836899816989899,0.12129200249910355,0.11043699830770493,0.114935003221035,3678,2306751.19606
31-05-2015,0.12255799770355225,0.12488500028848648,0.11610600352287292,0.11825300008058548,4940.72021484375,2370848.48364
30-05-2015,0.1262740045785904,0.12769199907779694,0.12170899659395218,0.12268800288438797,3604.550048828125,2457152.32246
29-05-2015,0.12648999691009521,0.12950299680233002,0.12362200021743774,0.12628500163555145,3586.330078125,2526621.87974
28-05-2015,0.13557900488376617,0.13557900488376617,0.12356700003147125,0.1267549991607666,3754.97998046875,2533224.02524
27-05-2015,0.138823002576828,0.15050899982452393,0.13224899768829346,0.13557299971580505,6554.22998046875,2706904.74639
26-05-2015,0.13081499934196472,0.14341199398040771,0.13081499934196472,0.13654500246047974,6316.990234375,2723301.26993
25-05-2015,0.12277600169181824,0.13252800703048706,0.11992599815130234,0.13102799654006958,4915.31005859375,2610234.99281
24-05-2015,0.12024799734354019,0.12548699975013733,0.12024799734354019,0.12424600124359131,3211.56005859375,2472905.41105
23-05-2015,0.12453199923038483,0.12453199923038483,0.12008100003004074,0.12026999890804291,3923.77001953125,2391689.21928
22-05-2015,0.11483599990606308,0.12808600068092346,0.11414100229740143,0.12462099641561508,5371.31982421875,2475683.39895
21-05-2015,0.11103499680757523,0.11997699737548828,0.1087929978966713,0.11541599780321121,4030.219970703125,2289813.04371
20-05-2015,0.06800910085439682,0.11101000010967255,0.06799110025167465,0.11101000010967255,5097.72998046875,2199907.37133
19-05-2015,0.11625400185585022,0.12298200279474258,0.06803689897060394,0.06805290281772614,6286.990234375,1347277.28734
18-05-2015,0.13256500661373138,0.1343580037355423,0.11401700228452682,0.11618000268936157,7257.77001953125,2296977.3523
17-05-2015,0.11545400321483612,0.13326199352741241,0.10343000292778015,0.13281600177288055,9533.0302734375,2622232.7728
16-05-2015,0.12101799994707108,0.13347099721431732,0.112527996301651,0.11781299859285355,9338.0498046875,2321163.50659
15-05-2015,0.10293799638748169,0.12286700308322906,0.08202510327100754,0.12234699726104736,12341.099609375,2406473.72902
14-05-2015,0.08818139880895615,0.10319200158119202,0.0691014975309372,0.10319200158119202,8338.1201171875,2026608.32578
13-05-2015,0.07645399868488312,0.09412190318107605,0.07645399868488312,0.08779440075159073,6748.16015625,1721727.19843
12-05-2015,0.07476100325584412,0.07842759788036346,0.07438009977340698,0.07653660327196121,5171.14013671875,1498862.1593
11-05-2015,0.0712089017033577,0.07868529856204987,0.0712089017033577,0.07472439855337143,5612.81005859375,1461452.34231
10-05-2015,0.07347150146961212,0.07517159730195999,0.07093270123004913,0.07125090062618256,4451.759765625,1391562.13948
09-05-2015,0.0762576013803482,0.07916759699583054,0.07241930067539215,0.0746230036020279,4808.1201171875,1455241.7783
08-05-2015,0.07670360058546066,0.08127269893884659,0.07414600253105164,0.07628169655799866,5779.9501953125,1485158.92952
07-05-2015,0.07900729775428772,0.08257769793272018,0.0727171003818512,0.07638440281152725,6835.8798828125,1484332.2141
06-05-2015,0.07910359650850296,0.07950329780578613,0.0734264999628067,0.07912919670343399,5973.6201171875,1534833.48379
05-05-2015,0.07011029869318008,0.08001299947500229,0.067774698138237,0.07981420308351517,6225,1545250.80004
04-05-2015,0.07074470072984695,0.07217379659414291,0.06641849875450134,0.07010369747877121,5142.669921875,1354687.40356
03-05-2015,0.07066439837217331,0.07723379880189896,0.06674809753894806,0.07074999809265137,5010.10009765625,1364954.98708
02-05-2015,0.0746212974190712,0.07845039665699005,0.07038210332393646,0.07067520171403885,10558,1361038.26486
01-05-2015,0.0932684987783432,0.09620430320501328,0.0740479975938797,0.07502099871635437,13253.5,1442034.9063
30-04-2015,0.09284529834985733,0.09670340269804001,0.09228239953517914,0.09320560097694397,3527.449951171875,1788321.8658
29-04-2015,0.09427350014448166,0.09435609728097916,0.05553250014781952,0.09293320029973984,4435.93994140625,1779601.07954
28-04-2015,0.09214109927415848,0.09503179788589478,0.09056170284748077,0.09182959794998169,5536.64990234375,1754693.77069
27-04-2015,0.09065850079059601,0.0959663987159729,0.08841049671173096,0.09212899953126907,6929.66015625,1757471.22925
26-04-2015,0.0924505963921547,0.09582670032978058,0.08874969929456711,0.09067569673061371,6426.18994140625,1726805.36133
25-04-2015,0.09281809628009796,0.09469970315694809,0.0888461023569107,0.09280680119991302,6740.22998046875,1763964.92602
24-04-2015,0.09474100172519684,0.0952896997332573,0.09239479899406433,0.09447520226240158,6670.8798828125,1792232.33351
23-04-2015,0.09403549879789352,0.10003499686717987,0.09184219688177109,0.09480209648609161,8678.9404296875,1794641.67327
22-04-2015,0.10383500158786774,0.10405799746513367,0.09389209747314453,0.0939256027340889,7579.68017578125,1774447.13092
21-04-2015,0.09635429829359055,0.10598199814558029,0.09523820132017136,0.10346899926662445,7631.5,1950892.47403
20-04-2015,0.0915789008140564,0.10451500117778778,0.09154199808835983,0.09635669738054276,7768.97998046875,1813611.35332
