Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,1.7e-07,2.9e-07,1.6e-07,2.6e-07,14718199.85,0
14-04-2021,1.6e-07,1.8e-07,1.3e-07,1.7e-07,6349137.42,0
13-04-2021,1.9e-07,2.1e-07,1.4e-07,1.6e-07,13314012.91,0
12-04-2021,1.1e-07,2.1e-07,1e-07,1.7e-07,17561875.33,0
11-04-2021,8e-08,1.2e-07,8e-08,1.1e-07,6995582.85,0
10-04-2021,7e-08,8e-08,6e-08,8e-08,1272821.38,0
09-04-2021,6e-08,7e-08,6e-08,7e-08,610176.4,0
08-04-2021,6e-08,6e-08,6e-08,6e-08,338731.05,0
07-04-2021,6e-08,6e-08,5e-08,6e-08,835693.93,0
06-04-2021,5e-08,6e-08,5e-08,6e-08,1294612.4,0
05-04-2021,4e-08,5e-08,4e-08,5e-08,1161737.83,0
04-04-2021,5e-08,5e-08,4e-08,4e-08,1264328.43,0
03-04-2021,5e-08,5e-08,4e-08,5e-08,812223.57,0
02-04-2021,5e-08,5e-08,4e-08,5e-08,1253052.82,0
01-04-2021,6e-08,6e-08,5e-08,5e-08,1238056.06,0
31-03-2021,6e-08,6e-08,5e-08,6e-08,1022749.93,0
30-03-2021,6e-08,7e-08,6e-08,6e-08,941403.72,0
29-03-2021,6e-08,7e-08,5e-08,6e-08,2342924.03,0
28-03-2021,4e-08,6e-08,4e-08,6e-08,1143576.76,0
27-03-2021,4e-08,4e-08,4e-08,4e-08,514844.75,0
26-03-2021,4e-08,5e-08,4e-08,4e-08,722333.3,0
25-03-2021,5e-08,5e-08,4e-08,4e-08,602384.98,0
24-03-2021,4e-08,5e-08,4e-08,5e-08,539037.11,0
23-03-2021,5e-08,5e-08,4e-08,4e-08,900688.48,0
22-03-2021,6e-08,6e-08,4e-08,5e-08,1425544.29,0
21-03-2021,6e-08,7e-08,5e-08,6e-08,1833105.03,0
20-03-2021,6e-08,7e-08,6e-08,6e-08,1165955.84,0
19-03-2021,7e-08,8e-08,6e-08,6e-08,2396973.63,0
18-03-2021,7e-08,7e-08,6e-08,7e-08,1423540.73,0
17-03-2021,6e-08,8e-08,5e-08,7e-08,3220467.43,0
16-03-2021,9e-08,9e-08,6e-08,6e-08,5609680.59,0
15-03-2021,5e-08,1e-07,5e-08,9e-08,11569430.99,0
14-03-2021,2e-08,8e-08,2e-08,5e-08,226957.58,0
13-03-2021,2e-08,3e-08,2e-08,2e-08,1283594.97,0
12-03-2021,2e-08,2e-08,1e-08,2e-08,475256.92,0
11-03-2021,2e-08,2e-08,2e-08,2e-08,377978.89,0
10-03-2021,2e-08,2e-08,2e-08,2e-08,310950.37,0
09-03-2021,2e-08,3e-08,2e-08,2e-08,725263.68,0
08-03-2021,2e-08,2e-08,2e-08,2e-08,545662.04,0
07-03-2021,2e-08,2e-08,2e-08,2e-08,607173.15,0
06-03-2021,2e-08,2e-08,2e-08,2e-08,479870.67,0
05-03-2021,3e-08,3e-08,2e-08,2e-08,2107989.67,0
04-03-2021,2e-08,3e-08,2e-08,3e-08,3502637.01,0
03-03-2021,2e-08,2e-08,2e-08,2e-08,1427315.53,0
02-03-2021,1e-08,2e-08,1e-08,2e-08,528326.05,0
01-03-2021,1e-08,1e-08,1e-08,1e-08,991095.35,0
28-02-2021,1e-08,2e-08,1e-08,1e-08,3832191.77,0
27-02-2021,1e-08,1e-08,1e-08,1e-08,481990.5,0
26-02-2021,1e-08,1e-08,1e-08,1e-08,147255.54,0
25-02-2021,1e-08,1e-08,1e-08,1e-08,31669.38,0
24-02-2021,1e-08,1e-08,1e-08,1e-08,54983.88,0
23-02-2021,1e-08,1e-08,0,1e-08,34174.16,0
22-02-2021,1e-08,1e-08,1e-08,1e-08,102993.69,0
21-02-2021,1e-08,1e-08,1e-08,1e-08,124683.66,0
20-02-2021,1e-08,1e-08,1e-08,1e-08,259931.35,0
19-02-2021,1e-08,1e-08,1e-08,1e-08,105110.1,0
18-02-2021,1e-08,1e-08,1e-08,1e-08,85075.64,0
17-02-2021,1e-08,1e-08,1e-08,1e-08,134902.57,0
16-02-2021,1e-08,1e-08,1e-08,1e-08,253569.77,0
15-02-2021,1e-08,1e-08,1e-08,1e-08,186938.44,0
14-02-2021,1e-08,1e-08,1e-08,1e-08,355424.7,0
13-02-2021,1e-08,1e-08,1e-08,1e-08,249169.33,0
12-02-2021,1e-08,1e-08,1e-08,1e-08,388734.61,0
11-02-2021,1e-08,1e-08,1e-08,1e-08,560751.92,0
10-02-2021,1e-08,1e-08,1e-08,1e-08,933735.35,0
09-02-2021,1e-08,1e-08,1e-08,1e-08,1143430.4,0
08-02-2021,1e-08,2e-08,1e-08,1e-08,6113372.36,0
07-02-2021,1e-08,1e-08,0,1e-08,1325909.65,0
06-02-2021,1e-08,1e-08,1e-08,1e-08,595378.68,0
05-02-2021,1e-08,1e-08,1e-08,1e-08,1298642.22,0
04-02-2021,1e-08,2e-08,1e-08,1e-08,1804077.87,0
03-02-2021,2e-08,2e-08,1e-08,1e-08,2682177.58,0
02-02-2021,1e-08,2e-08,1e-08,2e-08,5559511.64,0
01-02-2021,3e-08,4e-08,1e-08,1e-08,18665190.88,0
31-01-2021,1e-08,8e-08,0,3e-08,23921740.56,0
30-01-2021,0,1e-08,0,1e-08,5708931.98,0
29-01-2021,0,0,0,0,523.43,0
28-01-2021,0,0,0,0,13.34,0
27-01-2021,0,0,0,0,38.24596597,0
26-01-2021,0,0,0,0,132.46966321,0
25-01-2021,0,0,0,0,472.68147141,0
24-01-2021,0,0,0,0,0.14084892,0
23-01-2021,0,0,0,0,0,0
22-01-2021,0,0,0,0,51.75446457,0
21-01-2021,0,0,0,0,0,0
20-01-2021,0,0,0,0,0,0
19-01-2021,0,0,0,0,7.81093219,0
18-01-2021,0,0,0,0,44.6661,0
17-01-2021,0,0,0,0,47.5950646,0
16-01-2021,0,0,0,0,1225.8082423,0
15-01-2021,0,0,0,0,622.6602494,0
14-01-2021,0,0,0,0,619.04852664,0
